Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[HYBRID] warm-start from /rds/general/user/ssl125/home/RL2Grid_full/checkpoint/final_PPO_bus5_T_0_0__I__1776174124_47043_45000000.tar: {'mode': 'soft', 'n_samples': 10080, 'n_actions': 50, 'n_leaves': 16, 'max_depth': 8, 'fidelity': 0.8369047619047619, 'weighted_fidelity': 0.9472571420364244, 'curated': False, 'dagger_rounds': 0}
[DTPO] deterministic eval on 20 fixed chronics (of 20): ids=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
[DTPO] it=119/150 step=1189881 J_new=0.0057 kept mode=full leaves=16 survival=8.98% best=100.00% std=9.3%
[DTPO] it=120/150 step=1199880 J_new=0.0062 kept mode=full leaves=16 survival=5.40% best=100.00% std=0.3%
[DTPO] it=121/150 step=1209879 J_new=0.0052 kept mode=full leaves=16 survival=5.81% best=100.00% std=0.0%
[DTPO] it=122/150 step=1219878 J_new=0.0137 kept mode=full leaves=16 survival=2.14% best=100.00% std=2.6%
[DTPO] it=123/150 step=1229877 J_new=0.0115 kept mode=full leaves=16 survival=5.75% best=100.00% std=0.2%
[DTPO] it=124/150 step=1239876 J_new=0.0012 kept mode=full leaves=16 survival=1.34% best=100.00% std=2.1%
[DTPO] it=125/150 step=1249875 J_new=0.0030 kept mode=full leaves=16 survival=0.44% best=100.00% std=0.6%
[DTPO] it=126/150 step=1259874 J_new=0.0080 kept mode=full leaves=16 survival=0.52% best=100.00% std=0.9%
[DTPO] it=127/150 step=1269873 J_new=0.0031 kept mode=full leaves=16 survival=5.98% best=100.00% std=0.1%
[DTPO] it=128/150 step=1279872 J_new=0.0017 kept mode=full leaves=16 survival=5.97% best=100.00% std=0.1%
[DTPO] it=129/150 step=1289871 J_new=0.0029 kept mode=full leaves=16 survival=1.31% best=100.00% std=2.0%
[DTPO] it=130/150 step=1299870 J_new=0.0110 kept mode=full leaves=16 survival=6.15% best=100.00% std=0.0%
[DTPO] it=131/150 step=1309869 J_new=0.0112 kept mode=full leaves=16 survival=6.07% best=100.00% std=0.1%
[DTPO] it=132/150 step=1319868 J_new=0.0084 kept mode=full leaves=16 survival=5.36% best=100.00% std=0.7%
[DTPO] it=133/150 step=1329867 J_new=-0.0043 revert mode=full leaves=16 survival=5.36% best=100.00% std=0.7%
[DTPO] it=134/150 step=1339866 J_new=-0.0018 revert mode=full leaves=16 survival=5.36% best=100.00% std=0.7%
[DTPO] it=135/150 step=1349865 J_new=-0.0061 revert mode=full leaves=16 survival=5.36% best=100.00% std=0.7%
[DTPO] it=136/150 step=1359864 J_new=0.0065 kept mode=full leaves=16 survival=34.70% best=100.00% std=5.3%
[DTPO] it=137/150 step=1369863 J_new=0.0001 kept mode=full leaves=16 survival=6.15% best=100.00% std=0.0%
[DTPO] it=138/150 step=1379862 J_new=-0.0077 revert mode=full leaves=16 survival=6.15% best=100.00% std=0.0%
[DTPO] it=139/150 step=1389861 J_new=0.0075 kept mode=full leaves=16 survival=5.88% best=100.00% std=0.1%
[DTPO] it=140/150 step=1399860 J_new=0.0510 kept mode=full leaves=16 survival=6.05% best=100.00% std=0.1%
[DTPO] it=141/150 step=1409859 J_new=0.0029 kept mode=full leaves=16 survival=6.05% best=100.00% std=0.1%
[DTPO] it=142/150 step=1419858 J_new=0.0040 kept mode=full leaves=16 survival=6.88% best=100.00% std=0.0%
[DTPO] it=143/150 step=1429857 J_new=0.0237 kept mode=full leaves=16 survival=7.20% best=100.00% std=1.1%
[DTPO] it=144/150 step=1439856 J_new=0.0023 kept mode=full leaves=16 survival=20.50% best=100.00% std=0.6%
[DTPO] it=145/150 step=1449855 J_new=0.0060 kept mode=full leaves=16 survival=5.07% best=100.00% std=0.8%
[DTPO] it=146/150 step=1459854 J_new=0.0003 kept mode=full leaves=16 survival=5.99% best=100.00% std=0.2%
[DTPO] it=147/150 step=1469853 J_new=0.0259 kept mode=full leaves=16 survival=5.59% best=100.00% std=0.3%
[DTPO] it=148/150 step=1479852 J_new=0.0047 kept mode=full leaves=16 survival=6.25% best=100.00% std=0.5%
[DTPO] it=149/150 step=1489851 J_new=-0.0180 revert mode=full leaves=16 survival=6.25% best=100.00% std=0.5%
[DTPO] it=150/150 step=1499850 J_new=0.0118 kept mode=full leaves=16 survival=6.12% best=100.00% std=0.2%
[DTPO] stored 5 candidate trees for final selection (cheap survivals: ['100.0%', '100.0%', '100.0%', '100.0%', '100.0%']). Run dtpo_select.py --ckpt <ckpt> --episodes 100 to pick the honest best.
