Initializing the distributed action 'mapper'... (takes a while with big action spaces)
[DTPO] deterministic eval on 40 fixed chronics (of 1004): ids=[0, 25, 51, 77, 102, 128, 154, 180, 205, 231, 257, 282, 308, 334, 360, 385, 411, 437, 462, 488, 514, 540, 565, 591, 617, 642, 668, 694, 720, 745, 771, 797, 822, 848, 874, 900, 925, 951, 977, 1003]
[DTPO] it=82/150 step=819918 J_new=0.0056 kept mode=full leaves=16 survival=13.54% best=87.46% std=0.0%
[DTPO] it=83/150 step=829917 J_new=0.0051 kept mode=full leaves=16 survival=13.49% best=87.46% std=0.0%
[DTPO] it=84/150 step=839916 J_new=0.0070 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=85/150 step=849915 J_new=0.0048 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=86/150 step=859914 J_new=0.0098 kept mode=full leaves=16 survival=9.82% best=87.46% std=3.6%
[DTPO] it=87/150 step=869913 J_new=0.0094 kept mode=full leaves=16 survival=10.04% best=87.46% std=0.0%
[DTPO] it=88/150 step=879912 J_new=0.0097 kept mode=full leaves=16 survival=13.38% best=87.46% std=0.5%
[DTPO] it=89/150 step=889911 J_new=0.0087 kept mode=full leaves=16 survival=10.02% best=87.46% std=0.0%
[DTPO] it=90/150 step=899910 J_new=0.0049 kept mode=full leaves=16 survival=10.04% best=87.46% std=0.0%
[DTPO] it=91/150 step=909909 J_new=0.0047 kept mode=full leaves=16 survival=10.04% best=87.46% std=0.0%
[DTPO] it=92/150 step=919908 J_new=0.0042 kept mode=full leaves=16 survival=10.08% best=87.46% std=0.5%
[DTPO] it=93/150 step=929907 J_new=0.0065 kept mode=full leaves=16 survival=10.04% best=87.46% std=0.0%
[DTPO] it=94/150 step=939906 J_new=0.0059 kept mode=full leaves=16 survival=10.02% best=87.46% std=0.0%
[DTPO] it=95/150 step=949905 J_new=0.0042 kept mode=full leaves=16 survival=6.86% best=87.46% std=1.5%
[DTPO] it=96/150 step=959904 J_new=0.0074 kept mode=full leaves=16 survival=6.70% best=87.46% std=1.7%
[DTPO] it=97/150 step=969903 J_new=0.0050 kept mode=full leaves=16 survival=6.31% best=87.46% std=1.4%
[DTPO] it=98/150 step=979902 J_new=0.0041 kept mode=full leaves=16 survival=2.03% best=87.46% std=0.0%
[DTPO] it=99/150 step=989901 J_new=0.0044 kept mode=full leaves=16 survival=10.90% best=87.46% std=2.9%
[DTPO] it=100/150 step=999900 J_new=0.0039 kept mode=full leaves=16 survival=9.65% best=87.46% std=2.2%
[DTPO] it=101/150 step=1009899 J_new=0.0053 kept mode=full leaves=16 survival=10.28% best=87.46% std=0.9%
[DTPO] it=102/150 step=1019898 J_new=0.0040 kept mode=full leaves=16 survival=13.31% best=87.46% std=0.8%
[DTPO] it=103/150 step=1029897 J_new=0.0053 kept mode=full leaves=16 survival=9.43% best=87.46% std=1.3%
[DTPO] it=104/150 step=1039896 J_new=0.0059 kept mode=full leaves=16 survival=13.02% best=87.46% std=1.9%
[DTPO] it=105/150 step=1049895 J_new=0.0034 kept mode=full leaves=16 survival=10.26% best=87.46% std=0.9%
[DTPO] it=106/150 step=1059894 J_new=0.0042 kept mode=full leaves=16 survival=13.48% best=87.46% std=0.0%
[DTPO] it=107/150 step=1069893 J_new=0.0052 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=108/150 step=1079892 J_new=0.0039 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=109/150 step=1089891 J_new=0.0070 kept mode=full leaves=16 survival=10.19% best=87.46% std=0.8%
[DTPO] it=110/150 step=1099890 J_new=0.0075 kept mode=full leaves=16 survival=10.19% best=87.46% std=0.7%
[DTPO] it=111/150 step=1109889 J_new=0.0066 kept mode=full leaves=16 survival=11.75% best=87.46% std=1.7%
[DTPO] it=112/150 step=1119888 J_new=0.0110 kept mode=full leaves=16 survival=12.92% best=87.46% std=1.3%
[DTPO] it=113/150 step=1129887 J_new=0.0045 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=114/150 step=1139886 J_new=0.0094 kept mode=full leaves=16 survival=10.34% best=87.46% std=1.1%
[DTPO] it=115/150 step=1149885 J_new=0.0039 kept mode=full leaves=16 survival=12.58% best=87.46% std=1.6%
[DTPO] it=116/150 step=1159884 J_new=0.0031 kept mode=full leaves=16 survival=10.01% best=87.46% std=0.0%
[DTPO] it=117/150 step=1169883 J_new=0.0139 kept mode=full leaves=16 survival=11.57% best=87.46% std=1.7%
[DTPO] it=118/150 step=1179882 J_new=0.0065 kept mode=full leaves=16 survival=12.32% best=87.46% std=1.6%
[DTPO] it=119/150 step=1189881 J_new=0.0065 kept mode=full leaves=16 survival=11.13% best=87.46% std=1.6%
[DTPO] it=120/150 step=1199880 J_new=0.0040 kept mode=full leaves=16 survival=13.14% best=87.46% std=1.0%
[DTPO] it=121/150 step=1209879 J_new=0.0028 kept mode=full leaves=16 survival=13.54% best=87.46% std=0.0%
[DTPO] it=122/150 step=1219878 J_new=0.1309 kept mode=full leaves=16 survival=12.92% best=87.46% std=1.3%
[DTPO] it=123/150 step=1229877 J_new=0.0128 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=124/150 step=1239876 J_new=0.0033 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=125/150 step=1249875 J_new=0.0034 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=126/150 step=1259874 J_new=0.0069 kept mode=full leaves=16 survival=13.54% best=87.46% std=0.1%
[DTPO] it=127/150 step=1269873 J_new=0.0026 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=128/150 step=1279872 J_new=0.0082 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=129/150 step=1289871 J_new=0.0032 kept mode=full leaves=16 survival=7.09% best=87.46% std=1.0%
[DTPO] it=130/150 step=1299870 J_new=0.2016 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=131/150 step=1309869 J_new=0.0019 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=132/150 step=1319868 J_new=0.0025 kept mode=full leaves=16 survival=13.54% best=87.46% std=0.0%
[DTPO] it=133/150 step=1329867 J_new=0.0025 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
[DTPO] it=134/150 step=1339866 J_new=0.0175 kept mode=full leaves=16 survival=11.31% best=87.46% std=1.7%
[DTPO] it=135/150 step=1349865 J_new=0.0070 kept mode=full leaves=16 survival=13.55% best=87.46% std=0.0%
