name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus14_distill_L16_s104,ok,bus14,distill,16,104,DTPO,bus14,0,16,9,37.78,37.78,0.14,100.00,20.0,40,0,0
bus14_distill_L32_s100,ok,bus14,distill,32,100,DTPO,bus14,0,32,11,3.16,3.16,0.06,87.52,0.0,40,0,0
bus14_distill_L32_s101,ok,bus14,distill,32,101,DTPO,bus14,0,32,11,3.16,3.16,0.06,87.52,0.0,40,0,0
bus14_distill_L32_s102,ok,bus14,distill,32,102,DTPO,bus14,0,32,11,3.16,3.16,0.06,87.52,0.0,40,0,0
bus14_distill_L32_s103,ok,bus14,distill,32,103,DTPO,bus14,0,32,11,3.16,3.16,0.06,87.52,0.0,40,0,0
bus14_distill_L32_s104,ok,bus14,distill,32,104,DTPO,bus14,0,32,11,3.16,3.16,0.06,87.52,0.0,40,0,0
bus14_distill_L64_s100,ok,bus14,distill,64,100,DTPO,bus14,0,64,13,0.31,0.31,0.09,1.65,0.0,40,0,0
bus14_distill_L64_s101,ok,bus14,distill,64,101,DTPO,bus14,0,64,13,0.31,0.31,0.09,1.65,0.0,40,0,0
bus14_distill_L64_s102,ok,bus14,distill,64,102,DTPO,bus14,0,64,13,0.31,0.31,0.09,1.65,0.0,40,0,0
bus14_distill_L64_s103,ok,bus14,distill,64,103,DTPO,bus14,0,64,13,0.31,0.31,0.09,1.65,0.0,40,0,0
bus14_distill_L64_s104,ok,bus14,distill,64,104,DTPO,bus14,0,64,13,0.31,0.31,0.09,1.65,0.0,40,0,0
bus14_distill_L8_s100,ok,bus14,distill,8,100,DTPO,bus14,0,8,6,63.58,63.58,63.58,63.58,0.0,40,0,0
bus14_distill_L8_s101,ok,bus14,distill,8,101,DTPO,bus14,0,8,6,63.58,63.58,63.58,63.58,0.0,40,0,0
bus14_distill_L8_s102,ok,bus14,distill,8,102,DTPO,bus14,0,8,6,63.58,63.58,63.58,63.58,0.0,40,0,0
bus14_distill_L8_s103,ok,bus14,distill,8,103,DTPO,bus14,0,8,6,63.58,63.58,63.58,63.58,0.0,40,0,0
bus14_distill_L8_s104,ok,bus14,distill,8,104,DTPO,bus14,0,8,6,63.58,63.58,63.58,63.58,0.0,40,0,0
bus14_dtpo-full-M2_L16_s100,ok,bus14,dtpo-full-M2,16,100,DTPO,bus14,0,16,5,63.58,63.58,63.58,63.58,0.0,40,0,41
bus14_dtpo-full-M2_L16_s101,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-M2_L16_s102,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-M2_L16_s103,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-M2_L16_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-M8_L16_s100,ok,bus14,dtpo-full-M8,16,100,DTPO,bus14,0,16,5,63.58,63.58,63.58,63.58,0.0,40,0,24
bus14_dtpo-full-M8_L16_s101,ok,bus14,dtpo-full-M8,16,101,DTPO,bus14,0,16,5,62.33,62.33,13.58,63.58,0.0,40,0,24
bus14_dtpo-full-M8_L16_s102,ok,bus14,dtpo-full-M8,16,102,DTPO,bus14,0,16,9,97.84,97.84,13.57,100.00,97.5,40,2,35
bus14_dtpo-full-M8_L16_s103,ok,bus14,dtpo-full-M8,16,103,DTPO,bus14,0,16,5,62.33,62.33,13.58,63.58,0.0,40,0,12
bus14_dtpo-full-M8_L16_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-pat3_L16_s100,ok,bus14,dtpo-full-pat3,16,100,DTPO,bus14,0,16,6,62.33,62.33,13.58,63.58,0.0,40,5,24
bus14_dtpo-full-pat3_L16_s101,ok,bus14,dtpo-full-pat3,16,101,DTPO,bus14,0,16,6,55.42,55.42,13.53,63.58,0.0,40,7,20
bus14_dtpo-full-pat3_L16_s102,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full-pat3_L16_s103,ok,bus14,dtpo-full-pat3,16,103,DTPO,bus14,0,16,5,63.31,63.31,60.02,63.58,0.0,40,9,17
bus14_dtpo-full-pat3_L16_s104,ok,bus14,dtpo-full-pat3,16,104,DTPO,bus14,0,16,7,63.01,63.01,60.11,63.58,0.0,40,3,9
bus14_dtpo-full_L16_s100,ok,bus14,dtpo-full,16,100,DTPO,bus14,0,16,5,62.36,62.36,14.81,63.58,0.0,40,0,16
bus14_dtpo-full_L16_s101,ok,bus14,dtpo-full,16,101,DTPO,bus14,0,16,6,57.02,57.02,13.53,63.58,0.0,40,0,28
bus14_dtpo-full_L16_s102,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L16_s103,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L16_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L32_s100,ok,bus14,dtpo-full,32,100,DTPO,bus14,0,32,8,62.15,62.15,10.28,63.58,0.0,40,1,44
bus14_dtpo-full_L32_s101,ok,bus14,dtpo-full,32,101,DTPO,bus14,0,32,7,60.81,60.81,52.77,100.00,2.5,40,0,37
bus14_dtpo-full_L32_s102,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L32_s103,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L32_s104,ok,bus14,dtpo-full,32,104,DTPO,bus14,0,32,8,29.26,29.26,0.06,37.66,0.0,40,0,0
bus14_dtpo-full_L64_s100,ok,bus14,dtpo-full,64,100,DTPO,bus14,0,64,10,27.11,27.11,0.25,60.01,0.0,40,0,7
bus14_dtpo-full_L64_s101,ok,bus14,dtpo-full,64,101,DTPO,bus14,0,64,11,84.62,84.62,74.37,100.00,25.0,40,1,44
bus14_dtpo-full_L64_s102,ok,bus14,dtpo-full,64,102,DTPO,bus14,0,64,13,100.00,100.00,100.00,100.00,100.0,40,1,76
bus14_dtpo-full_L64_s103,ok,bus14,dtpo-full,64,103,DTPO,bus14,0,64,11,19.80,19.80,8.28,62.35,0.0,40,0,0
bus14_dtpo-full_L64_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L8_s100,ok,bus14,dtpo-full,8,100,DTPO,bus14,0,8,4,63.58,63.58,63.58,63.58,0.0,40,0,16
bus14_dtpo-full_L8_s101,ok,bus14,dtpo-full,8,101,DTPO,bus14,0,8,4,63.58,63.58,63.58,63.58,0.0,40,0,20
bus14_dtpo-full_L8_s102,no_eval,,,,,,,,,,,,,,,,,
